stockcode,bursacode,alias,name,shariah,economicsectorcode,industrygroupcode,hyperlink,address,description
$FAST,0084,FAST,FAST ENERGY HOLD,0,Energy,Oil & Gas,http://www.techfast.com.my/,"No. 11, Jalan Pasaran 23/5, Seksyen 23, SHAH ALAM, 40300, Malaysia","Fast Energy Holdings Berhad, formerly Techfast Holdings Berhad, is a Malaysia-based investment holding company. The Company's subsidiary includes Cape Technology Sdn Bhd, Fast Energy Sdn Bhd, and Fast Solar Sdn Bhd. The Company, through its subsidiaries, Fast Energy Sdn Bhd is engaged in the provision of bunkering services, vessel chartering and trading of petroleum and commodities; Fast Solar Sdn Bhd finances the construction of Solar PV Plants and Cape Technology Sdn Bhd is engaged in manufacturing mold cleaning rubber sheets for semiconductor industries. Its bunkering solutions include provision of marine fuels to ships, as well as other ocean-faring vessels, including cargo, oil tankers, container vessels and other vessels that are employed in the upstream oil and gas industry, such as offshore support vessels. It specializes in developing rubber cleaning and conditioning compounds through the study of various epoxy molding compounds used in semiconductor molding processes."
$FVCO,7229,FAVCO,FAVELLE FAVCO,1,Industrials,"Machinery, Equipment & Components",http://www.favellefavco.com/,"Lot 586, 2nd Mile, Jalan Batu Tiga Lama, KLANG, 41300, Malaysia","Favelle Favco Berhad is a Malaysia-based investment holding company. The Company’s segments include Cranes and Intelligent Automation Group. The Cranes segment is engaged in design, manufacture, supply, trading, leasing and services provider of offshore oil and gas pedestal cranes, tower cranes, shipyard cranes and other heavy lifting equipment cranes. The Intelligent Automation Group segment is engaged in design, engineering and maintenance services for integrated automation solutions, process analyzers and specialized equipment for various industries. The Company has a range of cranes, which includes offshore, tower, wharf, and crawler cranes. It has four manufacturing facilities with a total workforce of approximately 700 teammates. It offers a total lifting solution for job site requirements. It also provides after sales services. It provides additional services to the marine industry including rental of waterbags, rental of flat top barges, jack-up barges, and tug boats."
$FCWH,2755,FCW,FCW HOLDINGS BHD,0,Consumer Non-Cyclicals,Personal &Household Products & Services,http://www.fcw.com.my,"29th Floor, Menara JKG, No. 282, Jalan Raja Laut, KUALA LUMPUR, 50350, Malaysia","FCW Holdings Berhad is an investment holding company, which is engaged in the provision of management services. The Company is principally engaged in property development activities as well as contract manufacturing and wholesaling of cosmetic, toiletries and related products. The Company’s segments include Contract manufacturing, Property development, and Investment holding. The contract manufacturing segment includes wholesaler and processor of pharmaceutical, cosmetics, toiletries, and other related products. The Property development segment is in the business of constructing and developing residential and commercial properties undertaken by the joint venture. The Investment holding segment includes investment in shares, properties, other investment activities and provision of management services. Its subsidiaries include FCW Enterprise Sdn. Bhd. and Federal Telecommunications Sdn. Bhd."
$FIHB,8605,FIHB,FEDERAL INTERNA,1,Consumer Cyclicals,Specialty Retailers,https://www.fihb.my/#/,"Level P1, Menara Choy Fook On, No. 1B Jalan Yong Shook Lin, PETALING JAYA, 46050, Malaysia","Federal International Holdings Berhad is a Malaysia-based company, which is engaged in the business of investment holding. The Company operates through four business segments: Manufacturing and trading of furniture, Renovation and interior design, Construction business and Investment holding. The Company, through its subsidiaries, is engaged in activities, including renovation and interior fit out works; trading of home furnishings, home appliances, general building materials and general contractors for construction works, and manufacturing and export of furniture. The Company's subsidiaries include AF Pharma Sdn. Bhd., Federal Furniture Industries Sdn. Bhd., Federal Electric Company Sdn. Bhd., Federal Furniture Lifestyle Sdn. Bhd., Federal Furniture (M) Sdn. Bhd. (FFMSB), Pelantar Agresif (M) Sdn. Bhd., Qingdao Federal Furniture Industries Co. Ltd. and Pembinaan Federal Sdn. Bhd."
$FGVH,5222,FGV,FGV HOLDING,1,Consumer Non-Cyclicals,Food & Tobacco,http://www.fgvholdings.com/#,"Wisma FGV, Jalan Raja Laut,, KUALA LUMPUR, 50350, Malaysia","FGV Holdings Berhad is a Malaysia-based company, which is engaged in agriculture-business. The Company’s businesses include plantation, sugar, logistics, and other businesses. The plantation business palm upstream, palm downstream, research and development, marketing and trading, and renewable energy value chain. Its Palm Upstream business manages a total land bank of approximately 439,275 hectares in Malaysia and Indonesia, producing approximately three million metric tons (MT) of crude palm oil. (CPO) annually. The sugar sector operates through MSM Malaysia Holdings Berhad (MSM). MSM is involved in producing, marketing, and selling refined sugar products under the flagship brand, Gula Prai. Its logistics sector provides services in bulking/storage and transport facilities. Its bulking/storage business possesses storage facilities for edible oil with a total capacity of approximately 900,000 metric tons. Its other businesses include information and communication technology."
$FIAM,6939,FIAMMA,FIAMMA HOLDINGS,1,Consumer Cyclicals,Household Goods,https://www.fiamma.com.my/,"Wisma Fiamma, No. 20, Jalan 7A/62A, Bandar Manjalara, Damansara Heights, KUALA LUMPUR, 52200, Malaysia","Fiamma Holdings Berhad is a Malaysia-based investment holding and property investment company. The Company operates in three segments: Trading and services, Property development and Investment holding and property investment. The Trading and services segment includes distribution and servicing of electrical home appliances, sanitaryware, kitchen and wardrobe system and built-in furniture, other household products, bathroom accessories, medical devices and healthcare products. The Property development segment includes property development activities. The Investment holding and property investment segment includes the long-term investment in unquoted shares and property investment. In addition to distribution of cooking range of home appliances, its products include home laundry, air conditioners, refrigerators and freezers, water heaters and small appliances. The Company offers its products under various brands, including Elba, Faber, Rubine, MEC, Tuscani, Haustern and Ebac Home."
$FIBN,0149,FIBON,FIBON BHD,0,Industrials,"Machinery, Equipment & Components",http://www.fibon.com.my/,"12A, Jalan 20, Taman Sri Kluang, KLUANG, 86000, Malaysia","Fibon Berhad is a Malaysia-based investment holding company. The Company's segments include Sales of goods, Financing income and Investment holding. The Sales of goods segment is engaged in the manufacturing and trading of electrical insulators, electrical enclosures, switchboards equipment parts and meter boards. The Financing income segment is engaged in financial business of factoring and financing activities. Its subsidiaries include Hexa Analisa Sdn. Bhd., which is engaged in formulation of advanced polymer matrix fiber composites, manufacturing and sales of electrical insulators, electrical enclosures and meter boards; Fibon Electric (M) Sdn. Bhd., which is engaged in manufacturing, supplying and selling of switchboard and equipment parts; Fibon Capital Sdn. Bhd., which is engaged in money lending, factoring, development finance, credit and leasing and hire purchase business. Its other subsidiaries include Fibon Australia Pty Ltd., and Fibon UK Limited."
$FIBR,03026,FBBHD,FIBROMAT (M),1,Industrials,Professional & Commercial Services,,"Jalan Samudra Utara 1, Taman Samudra,, Wisma Fibromat 574, Batu Caves, 68100, Malaysia","Fibromat (M) Berhad is a Malaysia-based investment holding company. The Company's segments include Design and installation services, Trading and Manufacturing. It produces a range geosynthetic and erosion control products. Its geosynthetic products include erosion control blanket, coir log, drainage cell, erosion control mat, wire-mesh container, soil retaining system panel, gabion and green mattress, geotextile sand containers, geocell, geogrid, geosynthetic clay liner, geotextile tubes, hydroseeds and turf reinforcement mattress, among others. It is principally involved in designing and installation services for erosion control solutions, manufacturing of in-house erosion control products, trading of geosynthetics products and trading of erosion control products through MTS Fibromat (M) Sdn Bhd (MTS Fibromat)."
$FIMA,3107,FIMACOR,FIMA CORP BHD,1,Industrials,Professional & Commercial Services,http://www.fimacorp.com/,"Block C, Plaza Damansara, No.45, Jalan Medan Setia 1, Bukit Damansara, KUALA LUMPUR, 50490, Malaysia","Fima Corporation Berhad is a Malaysia-based company, which is engaged in property management and investment holding. The Company's segments include Production and trading, Plantation, and Investment holding and property management. The Production and trading segment is engaged in production and trading of security and confidential documents. The Plantation segment is engaged in oil palm production and processing. The Investment holding and property management is engaged in investment holding, rental and management of commercial properties. The Company, through its subsidiaries is engaged in the production of security and confidential documents, oil palm production and processing, and production and sale of bank notes. Its subsidiaries include Security Printers (M) Sdn. Bhd., Percetakan Keselamatan Nasional Sdn. Bhd., Fima Technology Sdn. Bhd., FCB Plantation Holdings Sdn. Bhd., and Gabungan Warisan Sdn. Bhd., among others."
$FINT,0150,FINTEC,FINTEC GLOBAL,0,Consumer Cyclicals,Hotels & Entertainment Services,https://fintec.global/,"68, Jalan Waja 2, Taman Industri Waja, PETALING JAYA, 47410, Malaysia","Fintec Global Berhad is a Malaysia-based company, which is engaged in technology incubation, investment holding, manufacturing and sale of rubber gloves. The Company's segments include Incubation, Portfolio Investment, Green Technology products, O & G services and Manufacturing &Trading. It provides management and strategic advisory services, research related activities, business networking and funding for its incubate companies. It is engaged in the trading of absorbent chemical compound and other related services through Eco-Sponge Sdn. Bhd. It is engaged in investing and trading in quoted securities and related activities through Asiabio Capital Sdn. Bhd. It is engaged in contracting works for biomass technologies and manufacturing of peeled lumber through Hexa Bonanza Sdn. Bhd. The Company's other subsidiaries include Fintec Capital Sdn. Bhd., Artisan Semesta Sdn. Bhd., Fintec Global Limited, Fintec Glove Sdn. Bhd., and Fintec Global (HK) Limited, among others."
$FITT,9318,FITTERS,FITTERS DIVERSIF,1,,,http://www.fittersgroup.com/,"Wisma FITTERS, No. 1, Jalan Tembaga Sd 5/2, KUALA LUMPUR, 52200, Malaysia","FITTERS Diversified Berhad is an investment holding company engaged in the trading of fire safety materials, equipment and fire prevention systems. The Company's segments include Fire Services, Property Development & Construction, Renewable & Waste-To-Energy and HYPRO polyvinyl chloride (PVC-O) Pipes Manufacturing & Distribution. Fire services division is engaged in manufacturing and trading of safety, firefighting equipment, industrial products, installation and maintenance of the Fire Department's privatized computerized fire alarm monitoring system, corrective and preventive maintenance within the fire industry and specialty construction industry. Property Development & Construction is engaged in development and construction in the property industry. Renewable & Waste-To-Energy is engaged in providing renewable, alternative and waste-to-energy, and operation of palm oil mills. Hypro PVC-O pipes manufacturing and distribution of Hypro molecularly orientated PVC-O pipes."
$FLEX,0231,FLEXI,FLEXIDYNAMIC,1,Industrials,"Machinery, Equipment & Components",https://flexidynamic.com/,"A-3A-28, IOI Boulevard, Jalan Kenari 5, Bandar Puchong Jaya, PUCHONG, 47170, Malaysia","Flexidynamic Holdings Bhd is a Malaysia-based company, which is a glove manufacturing solution provider. The Company is focused on providing solutions for the rubber glove manufacturing industry with market presence in Thailand, Vietnam, Indonesia, Sri Lanka and the United States of America. Its business activities include design, engineering, installation and commissioning of glove chlorination systems, as well as design and installation of storage tanks and process tanks for glove manufacturing industry. Its products and services that the Company provides are fiber-reinforced plastic (FRP) lining services for trenches, pits and floors for chemical resistance, and design and install scrubber system to treat and draw acidic fumes from former cleaning areas. It is also involved in the trading of raw materials and replacement parts for glove chlorination systems. It also undertakes repair, refurbishment and maintenance works for glove chlorination systems for its customers."
$FMHB,7210,FM,FM GLOBAL LOG,1,Industrials,Freight & Logistics Services,http://fmmalaysia.listedcompany.com/profile.html,"Lot 37, Lebuh Sultan Mohamad 1, Kawasan Perindustrian Bandar, Sultan Suleiman, Port Klang, KLANG, 42000, Malaysia","FM Global Logistics Holdings Berhad, formerly Freight Management Holdings Bhd, is a Malaysia-based investment holding company. The Company and its subsidiaries are principally engaged in the freight and forwarding industry. The Company's segments are Logistics, Marine and Other operating segments. The Logistics segment is involved in provision of integrated freight and logistics services, such as sea freight, air freight, rail freight, land freight, warehouse and distribution, haulage and other freight services, which are operated by companies in Malaysia, Australia, Indonesia, Thailand, Vietnam, India and Sri Lanka. The Marine segment is engaged as charterers and operators of barges and tugboats, which is operated by a company in Singapore. The Other operating segments consists of operations related to investment holdings and provision of management services, provision of information technology (IT) application solutions and support services."
$FCDY,0116,FOCUS,FOCUS DYNAMICS,0,Consumer Cyclicals,Hotels & Entertainment Services,http://www.focusdynamics.com.my/,"Lot 12.1, 12th Floor, Menara Lien Hoe, No. 8, Persiaran Tropicana, Tropicana Golf & Country Resort, PETALING JAYA, 47410, Malaysia","Focus Dynamics Group Berhad is a Malaysia-based investment holding company. The Company's segments include investment holding, which is engaged in investment holding; Property investment and management, which is engaged in letting of property; Engineering services includes Implementation and installation of industrial machines and processes, energy efficiency system, research and development of variable speed drives, installation of automation system, providing a range of support services covering project management services, maintenance support, engineering conceptualization, system audit, energy saving services and other support services in relation to the Company’s business and products; Food and beverage operates and manages food and beverage outlets and Others comprises of investment holding, businesses of human resources, event management and general trading and export and import of a variety of goods without any particular specialization."
$FOLU,5197,FLBHD,FOCUS LUMBER,0,Basic Materials,Paper & Forest Products,http://www.focuslumber.com.my,"Lot No. 12A, Jalan Teluk Likas, KOTA KINABALU, 89009, Malaysia","Focus Lumber Berhad is a Malaysia-based company, that is engaged in the manufacturing and sale of plywood, veneer, laminated veneer lumber (LVL), and investment holding. The Company operates through two segments: Manufacturing and Electricity. The Manufacturing segment is engaged in the business of manufacturing and sale of plywood, veneer and laminated veneer lumber. The Electricity segment is engaged in the business of generation and sale of electricity. Its plywood is used in the industries, such as the Recreational Vehicle (RV), home decorating, construction and furniture industries. It offers veneer, a thin sheet of wood, which is used to form the building blocks of plywood. It offers laminated veneer lumber, which is used in the construction industry. The Company's plywood manufacturing mill is located at Keningau, Sabah. Its subsidiary includes Untung Ria Sdn. Bhd., which is engaged in the generation and sale of electricity and investment in monetary instruments."
$FOPT,0157,FOCUSP,FOCUS POINT HLDG,1,Consumer Cyclicals,Specialty Retailers,https://www.focus-point.com/,"Unit 1, 3 & 5, Jalan PJU 1/37, Dataran Prima, PETALING JAYA, 47301, Malaysia","Focus Point Holdings Berhad is a Malaysia-based investment holding company. The Company is principally engaged in the operation of professional eye care centers, trading of eyewear and eye care products, and the provision of medical eye care services. The Company’s segments include Optical related products, Franchise management and Food and beverages. The Optical related products segment is engaged in retailing of optical related products. The Franchise management segment is involved in the management of franchised professional eye care centers, and food and beverage outlets. The Food and beverages segment is engaged in the provision of food and beverages services. It is also engaged in laser eye surgery treatment activities, as well as retailing of hearing solutions and related accessories. The Company’s subsidiaries include Excelview Laser Eye Centre Sdn. Bhd., Focus Point Management Sdn. Bhd., Focus Point Vision Care Group Sdn. Bhd. and Multiple Reward Sdn. Bhd."
$FPIB,9172,FPI,FORMOSA PROSONIC,1,Technology,"Computers, Phones & Household Electronics",http://www.fp-group.com/,"no 1 Lebub 1, Bndr Sltn Slmn, Taiwanese Indstl prk, KLANG, 42000, Malaysia","Formosa Prosonic Industries Berhad is a Malaysia-based company that is primarily engaged in designing, manufacturing and marketing of sound system products. The Company’s geographical segment is Malaysia, which is engaged in manufacturing and selling of speaker systems. The Company is focused on Original Equipment Manufacturing (OEM) services, including woodworking, plastic injection, driver units, printed circuit board (PCB) assembly and finished-products assembly and it also serve the requirements for Joint Design Manufacturing (JDM), Electronics Manufacturing Services (EMS) and Contract Manufacturing (CM). Its products include wireless speaker products, conventional speaker products and musical instrument products. The Company’s wholly owned subsidiary is Acoustic Energy Limited."
$FOUN,5277,FPGROUP,FOUNDPAC BHD,1,Technology,Electronic Equipment & Parts,http://www.foundpac.com/,"Plot 35, Hilir Sungai Keluang 2, Bayan L, Lepas Industrial Estate, Non-Free Indust, BAYAN LEPAS, 11900, Malaysia","FoundPac Group Berhad is engaged in precision technology manufacturing. The Company operates in four segments: Precision engineering, Laser stencils, Automation, and Accessory cables. The Precision engineering segment is engaged in designing, developing, manufacturing, marketing, and selling of stiffeners, test sockets, hand lids and related accessories. The Laser stencils segment is engaged in the manufacture and sale of laser stencils. The Automation segment is engaged in the manufacture of industrial equipment and machinery. The Accessory cables segment is engaged in the manufacture and sale of accessory cables and connectors. The Company’s stiffener products include Advantest stiffener, Direct Probe, MUX, WPI, Probe Card, T2000, WaveScale, and others. The Company also provides Advantest stiffener accessories, such as BTG Connector Bracket Assy, Stiffener Inlay Assy BTG/PMUX Purge, BTG Cable Routing Kit, and Advantest/Verigy Port Scale RF Adapter Plate Kit."
$FRAS,3689,F&N,FRASER & NEAVE,1,Consumer Non-Cyclicals,Beverages,http://www.fn.com.my/,"No. 3 Jalan Metro Pudu 1, off Jalan Yew, Fraser Business Park, 55100 Kuala Lumpur, Malaysia","Fraser & Neave Holdings Bhd is an investment holding company. The Company, through its subsidiaries, is engaged in the manufacture and sale of beverages, dairy products, property development activities and the provision of management services. The Company's segments are Food and Beverages Malaysia, Food and Beverages Thailand, Property and Others. The Company's beverage brands include 100PLUS, F&N Fun Flavours, F&N Fruit Tree, F&N SEASONS, F&N NutriSoy, F&N ICE MOUNTAIN, OYOSHI and Ranger. The Company's dairy brands include F&N Magnolia, FARMHOUSE, Ideal, TEAPOT, Sunkist, GOLD COIN, Cap Junjung and Carnation. The Company exports its products to over 70 countries around the world, which includes China, Hong Kong, Taiwan, Singapore, Philippines, Indonesia, the Middle East and Africa. Its subsidiaries include F&N Beverages Marketing Sdn Bhd, F&N Dairies Manufacturing Sdn Bhd, F&N Beverages Manufacturing Sdn Bhd and Fraser & Neave (Malaya) Sdn Bhd."
$FRKN,0128,FRONTKN,FRONTKEN CORP,1,Industrials,Professional & Commercial Services,https://frontken.com/,"Suite 516, Block E, Pusat Dagangan Phileo Dmansar1, No.9, Jalan16/11,Off Jalan, PETALING JAYA, 46350, Malaysia","Frontken Corporation Berhad is a Malaysia-based company, which is engaged in investment holding and provision of management services to its subsidiaries. The Company operates through the provision of surface metamorphosis technology using thermal spray coating processes and a series of complementary processes, including mechanical and chemical engineering works segment. The Company provides materials, equipment consumable parts and engineering services. The Company’s geographical segments include Malaysia, Singapore, Philippines, Taiwan and Indonesia. The Company’s subsidiaries include Frontken Malaysia Sdn. Bhd. (FMSB), Frontken (Singapore) Pte. Ltd. (FSPL), PT Frontken Indonesia, TTES Frontken Integrated Services Sdn. Bhd. (TTES) and Ares Green Technology Corporation (AGTC). The Company’s customer portfolio comprises semiconductor, optoelectronics, oil and gas and petrochemical industries around the world."
$FUJI,9377,FSBM,FSBM HOLDINGS,1,Technology,Software & IT Services,http://www.fsbm.com.my,"603, Block A, Phileo Damansara 1, No.9, Jalan 16/11, Off Jalan Damansara, PETALING JAYA, 46350, Malaysia","FSBM Holdings Berhad is a Malaysia-based company that is primarily engaged in the distribution of computers, computers-related products, education-related products, provision of related services and investment holding. The Company operates through its contract system and services segment. The Company’s wholly owned subsidiaries include Asian Technology Resources Sdn. Bhd., FSBM CTech Sdn. Bhd., FSBM Datatech Sdn. Bhd., FSBM I-Centre Sdn. Bhd., FSBM I-Command Sdn. Bhd., FSBM I-Design Sdn. Bhd., FSBM Learning Media Sdn. Bhd., FSBM Mantissa (Malaysia) Sdn. Bhd., FSBM MSC Gateway Sdn. Bhd., FSBM Net Media Sdn. Bhd., FSBM Smart Comm Sdn. Bhd., Jaring Sekitar Sdn. Bhd., MyUnos Sdn. Bhd., Smart 360 Sdn. Bhd. and Unos Sdn. Bhd."
$FBMT,0820EA,,FTSE Bursa Malaysia KLCI ETF,0,,,,,
$GCAP,7676,GCAP,G CAPITAL BERHAD,1,Industrials,Passenger Transportation Services,https://gcapital.com.my/,"D-3-3, Block D, Ayer@8, Jalan P8G, Presint 8, PUTRAJAYA, 62250, Malaysia","G Capital Berhad is a Malaysia-based holding company. The Company’s segments include transportation, hydropower and solarpower. The Company’s subsidiaries include Gunung Resources Sdn. Bhd. (GR), which is engaged in Investment holding company; GPB Corporation Sdn. Bhd. (GPB), which is engaged in chartering of land-based passenger transportation assets and specialty vehicles; Gunung Hydropower Sdn. Bhd. (GH), which is involved in dealing in hydropower and hydroelectric activities; Pusaka Hijau Sdn. Bhd. (PH)., which is engaged in investment holding company, and Solarcity Malaysia Sdn. Bhd."
$GNET,0045,GNB,G NEPTUNE BHD,1,Technology,Software & IT Services,https://www.gneptune.com/,"No. 9A, Jalan Medan Tuanku, Medan Tuanku, KUALA LUMPUR, 50300, Hong Kong","G Neptune Berhad, formerly GPRO Technologies Bhd, is an investment holding company. The Company is also engaged in the research and development on information technology, and sales of apparel and garment products. The Company operates through the Information technology and apparel products segment. The Information technology and apparel products segment is engaged in investment holding, supply of software and hardware products, and sales of apparel and garments products. The Company's subsidiary, Geranium Limited, is engaged in the provision of information technology solution services in Hong Kong."
$GLOA,7184,G3,G3 GLOBAL BHD,1,Consumer Cyclicals,Textiles & Apparel,https://g3global.com.my/,"51-8-B Menara BHL Bank, Jalan Sultan Ahmad Shah, SHAH ALAM, 40460, Malaysia","G3 Global Berhad is a Malaysia-based investment holding company. The Company is engaged in information and communication technology, and pharmaceutical, medicines and health products business. The Company's segments include Information, communications and technology (ICT), Apparels and Healthcare. Its ICT segment is engaged in the supply of telecommunication solutions, services and related products. Its Apparels segment is engaged in the manufacturing, marketing, distribution and retailing of jeans wear, other fashion apparels and accessories. Its Healthcare segment is engaged in the pharmaceutical, medicines and health products business. The Company's subsidiaries include Atilze Digital Sdn. Bhd., Atilze AI Sdn. Bhd. and Bestinet Healthcare Sdn Bhd."
$GAQR,5226,GBGAQRS,GABUNGAN AQRS,1,Industrials,Construction & Engineering,https://gbg.com.my/,"G-58-1, Block G, Jalan Teknologi 3/9, Bistari 'De' Kota Kota Damansara, PETALING JAYA, 47810, Malaysia","Gabungan AQRS Berhad is a Malaysia-based investment holding company. The Company and its subsidiaries are principally engaged in the property development, construction, property investment and the provision of management services. The Company operates through two segments, which include Property development, which is engaged in the development of residential and commercial properties; Construction, which is involved in securing and carrying out construction contracts, and Other. Its subsidiaries include Gabungan Strategik Sdn. Bhd., Pembinaan Megah Ikhlas Sdn. Bhd. and Motibina Sdn. Bhd., which are the contractors for civil and building construction works; GBG Properties (Sabah) Sdn. Bhd. and AQRS The Building Company Sdn. Bhd., which are engaged in the property development; Gabungan AQRS Properties Sdn. Bhd. and Trusvest Sdn. Bhd., which are engaged in property investment, and Gabungan AQRS Management Sdn. Bhd., which is engaged in the provision of management services, among others."
$GADA,9261,GADANG,GADANG HLDGS BHD,1,Industrials,Construction & Engineering,http://www.gadang.com.my/,"Wisma Gadang, No. 52, Jalan Tago 2, Off Jalan Persiaran Utama, Sri Damansara, KUALA LUMPUR, 52200, Malaysia","Gadang Holdings Berhad is engaged in the businesses of investment holding and the provision of management services to the subsidiaries. The Company's segments include Construction division, Property division, Utility division and Investment holding. The Company's Construction division is engaged in civil engineering works, including earthworks, infrastructure works, hospital and mechanical and electrical (M&E) works. The Property division is engaged in the development of residential and commercial properties. The Utility division is engaged in the construction, maintenance and management of water and power supply facilities. The Investment holding segment is engaged in investment activities and provision of management services. Its subsidiaries include Gadang Engineering (M) Sdn Bhd, which is engaged in the earthworks, building and civil engineering construction works and Bincon Sdn Bhd, which is engaged in the hiring of plant and machinery."
$GAGA,0206,NADIBHD,GAGASAN NADI,1,,,https://nadicergas.com/,"F-1 @ 8 Suria, 33 Jalan PJU 1/42, PETALING JAYA, 47301, Malaysia","Gagasan Nadi Cergas Berhad is a Malaysia-based investment holding company. The Company operates through four segments. Construction segment is involved in the provision of conceptual design and advisory, design development, liaison. Concession and facility management segment is undertaking and providing various concession and asset management services, involving comprehensive maintenance and schedule refurbishment and replacement of assets. Utility segment is involved in the setting up of thermal energy storage plant, which forms part of a district cooling system where thermal energy is stored in a storage tank during low-energy demand hours and discharged for usage during high energy demand hours resulting in energy conservation and cost efficiency for the cooling system. Property development segment is involved in the development of residential, commercial and industrial properties. Other segments is engaged in properties investment and management services."
$GAMU,5398,GAMUDA,GAMUDA BHD,1,Industrials,Construction & Engineering,http://www.gamuda.com.my,"Menara Gamuda, Block D, PJ Trade Centre, No. 8, Jalan PJU 8/8A, Bandar Damansara Perdana, PETALING JAYA, 47820, Malaysia","Gamuda Berhad is an investment holding company. The Company is engaged in the business of civil engineering construction. The Company operates through three segments: Engineering and construction; Property development and club operations, and Water and expressway concessions. The Engineering and construction segment is engaged in the construction of highways and bridges, airfield facilities, railway, tunnel, water treatment plants, dams, general and trading services related to construction activities. The Property development and club operations segment is engaged in the development of residential and commercial properties and club operations. The Water and expressway concessions segment is engaged in the management of water supply and the management and tolling of highway operations. The Company, through its subsidiaries, is engaged in property investment; quarrying, manufacturing of premix and laying of road operations; rental of properties, and trading of construction materials."
$GASM,5209,GASMSIA,GAS MALAYSIA,1,Utilities,Natural Gas Utilities,http://www.gasmalaysia.com,"No. 5, Jalan Serendah 26/17, Seksyen 26, SHAH ALAM, 40400, Malaysia","Gas Malaysia Berhad is a Malaysia-based company that is engaged in selling and distribution of natural gas to the industrial, commercial and residential sectors as well as the construction and operation of the natural gas distribution system in Peninsular Malaysia. The Company's segments include Natural Gas & LPG, and Others. The Company provides natural gas and liquefied petroleum gas to homes, commercial businesses and industries. The Company's business portfolio includes a non-regulated gas distribution business consisting of projects, such as the combined heat and power (CHP) system and virtual pipelines. The Company, through its subsidiary, Gas Malaysia Retail Services Sdn. Bhd., is engaged in selling liquefied petroleum gas via a reticulation system. Through Pelantar Teknik (M) Sdn. Bhd. and Gas Malaysia Ventures Sdn. Bhd., the Company provides property holding and Investment holding activities."
$GDBH,0198,GDB,GDB HOLDINGS,1,Industrials,Construction & Engineering,https://www.gdbhb.com.my/,"No. 1-45, Jalan Puteri 4/8, Bandar Puteri, SELANGOR DARUL EHSAN, 40400, Malaysia","GDB Holdings Berhad is a Malaysia-based investment holding company. The Company has two subsidiaries namely, 100%-owned Grand Dynamic Builders Sdn Bhd (GDBSB) and 70%-owned GDB Geotechnics Sdn Bhd (GDB Geotechnics). GDBSB is principally involved in the provision of construction services, focusing on high rise residential, commercial and mixed development projects as main contractor and principal works contractor. GDB Geotechnics is engaged in the provision of construction services specializing in geotechnical and foundation engineering works. It operates through two segments: Construction and Investment holding. Construction segment is involved in provision of construction services. Investment holding segment is involved in group-level corporate services. The Company’s projects include BBCC Show Units, One Central Park Desa Parkcity, Kl Eco City, Etiqa Office Tower, Westside III Desa Parkcity, Dementia Care Centre, Menara Hap Seng 3, Aira Residence, Autohaus Setia Alam and other."
$GDEX,0078,GDEX,GDEX,1,Industrials,Freight & Logistics Services,https://www.gdexpress.com/malaysia/home/,"19, Jalan Tandang, PETALING JAYA, 46050, Malaysia","GDEX Berhad is a Malaysia-based investment holding company. The Company, through its subsidiaries, is engaged in the provision of provision of express delivery services, logistics services and property investment holdings. The Company's segments are Express delivery, Logistics and Property Investment. It operates in Malaysia, Singapore, Vietnam and Indonesia. Its domestic express carrier services include next day delivery service, same day delivery service (SDD), diplomatic service, bulk service, reverse charge service, delivery order return service, standard pick-up, late pick-up, early deliveries and cash on delivery. Its international express carrier services include international delivery service and freight service. The Company’s customized logistics solutions services include security handling, mailroom handling and project handling. Its logistics services include warehousing and distribution, temperature control rooms, packing and customs clearance."
$GESH,7197,GESHEN,GE-SHEN CORP,0,Basic Materials,Chemicals,https://gscorp.com.my/,"NO.11, Jalan Riang 23, Taman Gembira,, KUALA LUMPUR, 58000, Malaysia","Ge-Shen Corporation Berhad is engaged in the business of investment holding and the provision of management services. The Company is organized into two main geographical segments: Malaysia and Vietnam. Malaysia segment manufactures plastic molded products, components, tools and die, metal stamping and components. Vietnam segment manufactures plastic molded products and components. The Company provides various precision manufacturing solutions, including engineering services, tool fabrication, injection molding and spray painting. Its printing processes include screen printing, pad printing, foil printing, assembly, induction bonding, ultrasonic welding and heat staking. The Company serves a range of business sectors, including audio, medical & life-sciences, industrial applications, office automation and data storage, home & lifestyle and beauty. Its subsidiaries include Ge-Shen Plastic (M) Sdn. Bhd., Ezec Technology (M) Sdn. Bhd., Polyplas Sdn. Bhd. and Ge-Shen (Vietnam) Co., Ltd."
$GTCY,0104,GENETEC,GENETEC TECHNOLO,1,Industrials,"Machinery, Equipment & Components",http://www.genetec.net,"Lot. 7 Jalan P10/11, Seksyen 10, Kawasan Perusahaan Bangi, BANDAR BARU BANGI, 43650, Malaysia","Genetec Technology Berhad is an investment holding company. The Company is engaged in designing and building smart automation systems, customized factory, automated equipment and integrated systems, from conceptual design, development of prototype to mass replication of equipment. The Company operates under the industrial automation segment, which operates manufacturing facilities and sales offices in Malaysia. Its capabilities include assembly solutions, material handling, testing and inspection, in-house machining center, precision tooling jigs and fixtures, and aluminum profiles. It offers a range of assembly solutions, from standalone operator-assisted stations to semi-automated and fully automated assembly lines. It also specializes in the design and production of jigs and fixtures. The Company serves various industries, including electric vehicle and battery, automotive, computer peripherals, consumer goods and healthcare. It offers modular profile systems."
